Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2008,West Bridgewater,3230000,4,-,-,35,2,5.70%,130,101,77.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Westfield,3250000,126,80,63.50%,342,23,6.70%,1022,351,34.30%,,,,-,N/A,Fall 2006,155,83.8,,-,-
2008,Westford,3260000,42,36,85.70%,133,3,2.30%,483,313,64.80%,,,,-,N/A,Spring 2008,106,82.8,,-,-
2008,Westhampton,3270000,NA,NA,NA,NA,NA,NA,22,11,50%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Weston,3300000,29,26,89.70%,107,0,0%,336,280,83.30%,,,,-,N/A,Fall 2006,66,83.5,,-,-
2008,Westport,3310000,25,12,48%,81,3,3.70%,262,140,53.40%,,,,-,N/A,Spring 2008,36,73.5,,-,-
2008,West Springfield,3320000,73,32,43.80%,195,23,11.80%,661,182,27.50%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Westwood,3350000,43,35,81.40%,109,0,0%,421,295,70.10%,,,,-,N/A,Fall 2006,86,86.9,,-,-
2008,Weymouth,3360000,113,76,67.30%,277,18,6.50%,1065,596,56%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Whately,3370000,NA,NA,NA,NA,NA,NA,12,10,83.30%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Williamsburg,3400000,NA,NA,NA,NA,NA,NA,24,24,100%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Williamstown,3410000,NA,NA,NA,NA,NA,NA,50,47,94%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Wilmington,3420000,45,33,73.30%,115,2,1.70%,497,257,51.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Winchendon,3430000,22,10,45.50%,73,8,11%,333,207,62.20%,,,,-,N/A,Fall 2006,44,75.9,,-,-
2008,Winchester,3440000,48,40,83.30%,112,0,0%,568,445,78.30%,,,,-,N/A,Spring 2008,101,84.2,,-,-
2008,Winthrop,3460000,40,27,67.50%,97,2,2.10%,345,129,37.40%,,,,-,N/A,Spring 2008,35,72.9,,-,-
2008,Woburn,3470000,74,54,73%,153,1,0.70%,679,414,61%,,,,-,N/A,Spring 2007,103,78.6,,-,-
2008,Worcester,3480000,425,231,54.40%,1314,104,7.90%,4191,1761,42%,,,,-,N/A,Fall 2006,331,72.6,,-,-
2008,Wrentham,3500000,NA,NA,NA,NA,NA,NA,157,111,70.70%,,,,-,N/A,Spring 2008,28,93.3,,-,-
2008,Northampton-Smith Vocational Agricultural,4060000,48,40,83.30%,179,4,2.20%,179,178,99.40%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Excel Academy Charter (District),4100000,NA,NA,NA,NA,NA,NA,19,19,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Academy Of the Pacific Rim Charter Public (District),4120000,6,6,100%,23,0,0%,62,60,96.80%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Four Rivers Charter Public (District),4130000,8,8,100%,26,0,0%,35,34,97.10%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Berkshire Arts and Technology Charter (District),4140000,6,2,33.30%,20,0,0%,69,47,68.10%,,,,-,N/A,Fall 2006,8,72.7,,-,-
2008,Academy of Strategic Learning Charter (District),4150000,10,6,60%,17,2,11.80%,20,8,40%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Boston Preparatory Charter Public (District),4160000,NA,NA,NA,1,-,-,48,48,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Christa McAuliffe Regional Charter Public (District),4180000,NA,NA,NA,NA,NA,NA,75,75,100%,,,,-,N/A,Spring 2007,14,77.8,,-,-
2008,Smith Leadership Academy Charter Public (District),4190000,NA,NA,NA,NA,NA,NA,23,21,91.30%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Benjamin Banneker Charter Public (District),4200000,NA,NA,NA,NA,NA,NA,22,22,100%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Barnstable Horace Mann Charter (District),4230000,NA,NA,NA,NA,NA,NA,112,76,67.90%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Boston Day and Evening Academy Charter (District),4240000,16,6,37.50%,28,10,35.70%,28,28,100%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Marstons Mills East HM Charter Public (District),4270000,NA,NA,NA,NA,NA,NA,34,30,88.20%,,,,-,N/A,Spring 2007,9,75,,-,-
2008,Edward Brooke Charter (District),4280000,NA,NA,NA,NA,NA,NA,30,28,93.30%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Kipp Academy Lynn Charter (District),4290000,NA,NA,NA,NA,NA,NA,51,40,78.40%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Advanced Math and Science Academy Charter (District),4300000,NA,NA,NA,9,0,0%,27,27,100%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Cape Cod Lighthouse Charter (District),4320000,NA,NA,NA,NA,NA,NA,40,37,92.50%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Champion Charter (District),4340000,8,1,12.50%,22,14,63.60%,22,20,90.90%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Innovation Academy Charter (District),4350000,NA,NA,NA,7,0,0%,63,60,95.20%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Community Charter School of Cambridge (District),4360000,1,-,-,22,0,0%,43,42,97.70%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,City On A Hill Charter Public (District),4370000,7,3,42.90%,29,2,6.90%,29,29,100%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Codman Academy Charter Public (District),4380000,6,1,16.70%,25,1,4%,25,17,68%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Conservatory Lab Charter (District),4390000,NA,NA,NA,NA,NA,NA,17,11,64.70%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Community Day Charter Public (District),4400000,NA,NA,NA,NA,NA,NA,57,56,98.20%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Sabis International Charter (District),4410000,9,9,100%,38,2,5.30%,151,24,15.90%,,,,-,N/A,Fall 2006,20,74.1,,-,-
2008,Neighborhood House Charter (District),4440000,NA,NA,NA,NA,NA,NA,41,40,97.60%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Abby Kelley Foster Charter Public (District),4450000,3,-,-,12,0,0%,87,74,85.10%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Foxborough Regional Charter (District),4460000,7,3,42.90%,22,0,0%,72,58,80.60%,,,,-,N/A,Spring 2007,18,75,,-,-
2008,Benjamin Franklin Classical Charter Public (District),4470000,NA,NA,NA,NA,NA,NA,33,29,87.90%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Boston Collegiate Charter (District),4490000,1,-,-,18,0,0%,68,65,95.60%,,,,-,N/A,Spring 2007,13,81.3,,-,-
2008,Hilltown Cooperative Charter Public (District),4500000,NA,NA,NA,NA,NA,NA,22,22,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Robert M. Hughes Academy Charter (District),4510000,NA,NA,NA,NA,NA,NA,18,18,100%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Health Careers Academy Charter (District),4520000,19,15,78.90%,23,1,4.30%,23,22,95.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Holyoke Community Charter (District),4530000,NA,NA,NA,NA,NA,NA,80,24,30%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Lawrence Family Development Charter (District),4540000,NA,NA,NA,NA,NA,NA,47,47,100%,,,,-,N/A,Spring 2007,12,100,,-,-
2008,Hill View Montessori Charter Public (District),4550000,NA,NA,NA,NA,NA,NA,29,24,82.80%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Lowell Community Charter Public (District),4560000,NA,NA,NA,NA,NA,NA,85,84,98.80%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Lowell Middlesex Academy Charter (District),4580000,10,2,20%,20,4,20%,20,12,60%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Marblehead Community Charter (District),4640000,NA,NA,NA,NA,NA,NA,33,33,100%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Martha's Vineyard Charter (District),4660000,1,-,-,10,0,0%,36,33,91.70%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Ma Academy for Math and Science,4680000,0,-,-,0,-,-,NA,NA,NA,,,,-,N/A,NA,NA,NA,,-,-
2008,MATCH Charter Public High (District),4690000,1,-,-,25,0,0%,25,24,96%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Mystic Valley Regional Charter (District),4700000,3,-,-,25,0,0%,120,120,100%,,,,-,N/A,Spring 2007,18,78.3,,-,-
2008,New Leadership Charter (District),4710000,6,2,33.30%,24,3,12.50%,35,10,28.60%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,North Central Charter Essential (District),4740000,9,7,77.80%,39,0,0%,65,62,95.40%,,,,-,N/A,Spring 2008,9,69.2,,-,-
2008,Francis W. Parker Charter Essential (District),4780000,4,-,-,19,0,0%,40,40,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Pioneer Valley Performing Arts Charter Public (Distri,4790000,8,5,62.50%,42,0,0%,50,38,76%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Boston Renaissance Charter Public (District),4810000,NA,NA,NA,NA,NA,NA,109,79,72.50%,,,,-,N/A,Spring 2007,11,84.6,,-,-
2008,River Valley Charter (District),4820000,NA,NA,NA,NA,NA,NA,46,46,100%,,,,-,N/A,Spring 2008,12,100,,-,-
2008,Rising Tide Charter Public (District),4830000,NA,NA,NA,NA,NA,NA,48,47,97.90%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Roxbury Preparatory Charter (District),4840000,NA,NA,NA,NA,NA,NA,23,23,100%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Salem Academy Charter (District),4850000,NA,NA,NA,12,0,0%,47,40,85.10%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Seven Hills Charter (District),4860000,NA,NA,NA,NA,NA,NA,83,81,97.60%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Prospect Hill Academy Charter (District),4870000,5,-,-,16,0,0%,59,44,74.60%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,South Shore Charter Public (District),4880000,5,-,-,37,0,0%,88,74,84.10%,,,,-,N/A,Spring 2008,15,93.8,,-,-
2008,Sturgis Charter Public (District),4890000,7,5,71.40%,41,2,4.90%,41,41,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Uphams Corner Charter (District),4900000,NA,NA,NA,NA,NA,NA,43,27,62.80%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Atlantis Charter (District),4910000,NA,NA,NA,NA,NA,NA,95,54,56.80%,,,,-,N/A,Spring 2007,13,100,,-,-
2008,Martin Luther King Jr. Charter School of Excellence (,4920000,NA,NA,NA,NA,NA,NA,16,14,87.50%,,,,-,N/A,NA,NA,NA,,-,-
2008,Phoenix Charter Academy (District),4930000,4,-,-,17,9,52.90%,17,17,100%,,,,-,N/A,NA,NA,NA,,-,-
2008,Pioneer Charter School of Science (District),4940000,NA,NA,NA,NA,NA,NA,3,-,-,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Global Learning Charter Public (District),4960000,1,-,-,10,1,10%,32,32,100%,,,,-,N/A,NA,NA,NA,,-,-
2008,Pioneer Valley Chinese Immersion Charter(District),4970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,-,N/A,NA,NA,NA,,-,-
2008,Acton-Boxborough,6000000,78,68,87.20%,218,2,0.90%,419,305,72.80%,,,,-,N/A,Spring 2007,76,80.9,,-,-
2008,Adams-Cheshire,6030000,17,10,58.80%,49,4,8.20%,195,96,49.20%,,,,-,N/A,Fall 2006,21,75,,-,-
2008,Amherst-Pelham,6050000,67,48,71.60%,209,11,5.30%,337,184,54.60%,,,,-,N/A,Fall 2006,14,66.7,,-,-
2008,Ashburnham-Westminster,6100000,34,21,61.80%,99,4,4%,462,340,73.60%,,,,-,N/A,Fall 2006,60,84.5,,-,-
2008,Athol-Royalston,6150000,30,14,46.70%,11,11,100%,42,4,9.50%,,,,-,N/A,Spring 2007,44,65.7,,-,-
2008,Berkshire Hills,6180000,30,22,73.30%,99,3,3%,209,122,58.40%,,,,-,N/A,Spring 2008,26,70.3,,-,-
2008,Berlin-Boylston,6200000,6,4,66.70%,31,1,3.20%,63,37,58.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Blackstone-Millville,6220000,24,17,70.80%,60,0,0%,309,131,42.40%,,,,-,N/A,Spring 2007,40,70.2,,-,-
2008,Bridgewater-Raynham,6250000,54,40,74.10%,185,2,1.10%,901,697,77.40%,,,,-,N/A,Spring 2008,125,74.4,,-,-
2008,Chesterfield-Goshen,6320000,NA,NA,NA,NA,NA,NA,14,11,78.60%,,,,-,N/A,Spring 2007,-,-,,-,-
2008,Central Berkshire,6350000,37,26,70.30%,96,4,4.20%,341,243,71.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Concord-Carlisle,6400000,56,46,82.10%,156,0,0%,204,104,51%,,,,-,N/A,Fall 2006,35,83.3,,-,-
2008,Dennis-Yarmouth,6450000,54,27,50%,142,11,7.70%,541,312,57.70%,,,,-,N/A,Fall 2006,56,70,,-,-
2008,Dighton-Rehoboth,6500000,48,36,75%,162,6,3.70%,488,364,74.60%,,,,-,N/A,Spring 2008,70,74.5,,-,-
2008,Dover-Sherborn,6550000,12,12,100%,58,0,0%,123,123,100%,,,,-,N/A,Spring 2007,25,86.2,,-,-
2008,Dudley-Charlton Reg,6580000,36,22,61.10%,99,2,2%,512,255,49.80%,,,,-,N/A,Fall 2006,99,84.6,,-,-
2008,Nauset,6600000,49,38,77.60%,153,5,3.30%,261,63,24.10%,,,,-,N/A,Fall 2006,126,78.3,,-,-
2008,Farmington River Reg,6620000,NA,NA,NA,NA,NA,NA,22,7,31.80%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,Freetown-Lakeville,6650000,34,22,64.70%,131,7,5.30%,321,187,58.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Frontier,6700000,29,20,69%,79,3,3.80%,165,40,24.20%,,,,-,N/A,Spring 2008,25,69.4,,-,-
2008,Gateway,6720000,25,19,76%,47,5,10.60%,192,143,74.50%,,,,-,N/A,Spring 2008,24,68.6,,-,-
2008,Groton-Dunstable,6730000,24,16,66.70%,76,2,2.60%,309,198,64.10%,,,,-,N/A,Spring 2008,66,75.9,,-,-
2008,Gill-Montague,6740000,34,15,44.10%,63,7,11.10%,197,77,39.10%,,,,-,N/A,Spring 2008,21,60,,-,-
2008,Hamilton-Wenham,6750000,30,24,80%,117,1,0.90%,331,249,75.20%,,,,-,N/A,Fall 2006,19,73.1,,-,-
2008,Hampden-Wilbraham,6800000,72,63,87.50%,229,0,0%,628,361,57.50%,,,,-,N/A,Fall 2006,104,78.2,,-,-
2008,Hampshire,6830000,21,16,76.20%,63,3,4.80%,126,56,44.40%,,,,-,N/A,Spring 2007,28,82.4,,-,-
2008,Hawlemont,6850000,NA,NA,NA,NA,NA,NA,24,15,62.50%,,,,-,N/A,Spring 2008,-,-,,-,-
2008,King Philip,6900000,42,27,64.30%,135,5,3.70%,317,148,46.70%,,,,-,N/A,Fall 2006,39,81.3,,-,-
2008,Lincoln-Sudbury,6950000,75,60,80%,268,4,1.50%,300,0,0%,,,,-,N/A,Spring 2007,53,84.1,,-,-
2008,Manchester Essex Regional,6980000,9,8,88.90%,36,1,2.80%,181,110,60.80%,,,,-,N/A,Spring 2007,38,74.5,,-,-
2008,Marthas Vineyard,7000000,52,46,88.50%,165,1,0.60%,180,120,66.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Masconomet,7050000,53,42,79.20%,146,0,0%,276,150,54.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Mendon-Upton,7100000,28,24,85.70%,83,4,4.80%,310,183,59%,,,,-,N/A,Spring 2008,66,78.6,,-,-
2008,Mount Greylock,7150000,10,7,70%,54,0,0%,97,49,50.50%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Mohawk Trail,7170000,31,18,58.10%,63,6,9.50%,235,95,40.40%,,,,-,N/A,Spring 2008,47,83.9,,-,-
2008,Narragansett,7200000,25,16,64%,61,1,1.60%,248,160,64.50%,,,,-,N/A,Fall 2006,24,82.8,,-,-
2008,Nashoba,7250000,27,20,74.10%,75,1,1.30%,348,259,74.40%,,,,-,N/A,Spring 2008,68,81.9,,-,-
2008,New Salem-Wendell,7280000,NA,NA,NA,NA,NA,NA,20,15,75%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Northboro-Southboro,7300000,41,36,87.80%,130,2,1.50%,148,88,59.50%,,,,-,N/A,Fall 2006,17,70.8,,-,-
2008,North Middlesex,7350000,45,29,64.40%,132,3,2.30%,641,348,54.30%,,,,-,N/A,Spring 2007,111,79.3,,-,-
2008,Old Rochester,7400000,27,21,77.80%,82,1,1.20%,154,131,85.10%,,,,-,N/A,Spring 2008,30,85.7,,-,-
2008,Pentucket,7450000,51,40,78.40%,122,4,3.30%,439,324,73.80%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Pioneer Valley,7500000,17,12,70.60%,54,2,3.70%,183,145,79.20%,,,,-,N/A,Fall 2006,36,83.7,,-,-
2008,Quabbin,7530000,36,27,75%,109,5,4.60%,403,133,33%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Ralph C Mahar,7550000,25,9,36%,81,2,2.50%,163,99,60.70%,,,,-,N/A,Fall 2006,13,54.2,,-,-
2008,Silver Lake,7600000,44,35,79.50%,160,2,1.30%,243,147,60.50%,,,,-,N/A,Fall 2006,24,61.5,,-,-
2008,Southern Berkshire,7650000,12,8,66.70%,41,1,2.40%,141,74,52.50%,,,,-,N/A,Fall 2006,25,92.6,,-,-
2008,Southwick-Tolland,7660000,18,15,83.30%,63,4,6.30%,233,162,69.50%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Spencer-E Brookfield,7670000,35,15,42.90%,53,4,7.50%,399,231,57.90%,,,,-,N/A,Spring 2007,62,81.6,,-,-
2008,Tantasqua,7700000,47,33,70.20%,162,1,0.60%,271,112,41.30%,,,,-,N/A,Spring 2008,39,69.6,,-,-
2008,Triton,7730000,37,21,56.80%,86,2,2.30%,339,217,64%,,,,-,N/A,Fall 2006,51,76.1,,-,-
2008,Up-Island Regional,7740000,NA,NA,NA,NA,NA,NA,76,63,82.90%,,,,-,N/A,Fall 2006,11,68.8,,-,-
2008,Wachusett,7750000,67,53,79.10%,172,7,4.10%,880,602,68.40%,,,,-,N/A,Spring 2008,155,77.1,,-,-
2008,Quaboag Regional,7780000,18,13,72.20%,47,2,4.30%,211,167,79.10%,,,,-,N/A,Spring 2007,25,67.6,,-,-
2008,Whitman-Hanson,7800000,46,28,60.90%,157,0,0%,618,373,60.40%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Assabet Valley Regional Vocational Technical,8010000,89,81,91%,276,2,0.70%,276,275,99.60%,,,,-,N/A,Spring 2008,35,87.5,,-,-
2008,Blackstone Valley Regional Vocational Technical,8050000,40,39,97.50%,163,1,0.60%,163,72,44.20%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Blue Hills Regional Vocational Technical,8060000,61,56,91.80%,219,2,0.90%,219,204,93.20%,,,,-,N/A,Fall 2006,-,-,,-,-
2008,Bristol-Plymouth Regional Vocational Technical,8100000,52,46,88.50%,212,8,3.80%,212,196,92.50%,,,,-,N/A,Spring 2007,29,82.9,,-,-
2008,Cape Cod Regional Vocational Technical,8150000,56,46,82.10%,185,3,1.60%,186,118,63.40%,,,,-,N/A,Spring 2007,24,85.7,,-,-
2008,Franklin County Regional Vocational Technical,8180000,38,33,86.80%,144,1,0.70%,144,0,0%,,,,-,N/A,Spring 2007,18,64.3,,-,-
2008,Greater Fall River Regional Vocational Technical,8210000,35,32,91.40%,130,3,2.30%,130,3,2.30%,,,,-,N/A,Spring 2008,10,90.9,,-,-
2008,Greater Lawrence Regional Vocational Technical,8230000,74,48,64.90%,242,12,5%,247,163,66%,,,,-,N/A,Spring 2007,21,61.8,,-,-
2008,Greater New Bedford Regional Vocational Technical,8250000,64,53,82.80%,225,1,0.40%,225,207,92%,,,,-,N/A,Spring 2008,21,77.8,,-,-
2008,Greater Lowell Regional Vocational Technical,8280000,102,86,84.30%,398,7,1.80%,405,246,60.70%,,,,-,N/A,Fall 2006,55,84.6,,-,-
2008,South Middlesex Regional Vocational Technical,8290000,81,68,84%,264,8,3%,266,228,85.70%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Minuteman Regional Vocational Technical,8300000,86,75,87.20%,262,6,2.30%,262,211,80.50%,,,,-,N/A,Fall 2006,39,75,,-,-
2008,Montachusett Regional Vocational Technical,8320000,61,59,96.70%,204,2,1%,204,148,72.50%,,,,-,N/A,Spring 2007,23,95.8,,-,-
2008,Northern Berkshire Regional Vocational Technical,8510000,23,21,91.30%,96,0,0%,96,58,60.40%,,,,-,N/A,Spring 2008,17,89.5,,-,-
2008,Nashoba Valley Regional Vocational Technical,8520000,51,46,90.20%,182,2,1.10%,182,165,90.70%,,,,-,N/A,Fall 2006,19,82.6,,-,-
2008,Northeast Metropolitan Regional Vocational Technical,8530000,77,68,88.30%,331,5,1.50%,331,261,78.90%,,,,-,N/A,Spring 2007,47,78.3,,-,-
2008,North Shore Regional Vocational Technical,8540000,51,47,92.20%,173,1,0.60%,173,142,82.10%,,,,-,N/A,Spring 2007,30,85.7,,-,-
2008,Old Colony Regional Vocational Technical,8550000,34,30,88.20%,122,3,2.50%,122,115,94.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Pathfinder Regional Vocational Technical,8600000,60,38,63.30%,232,8,3.40%,247,115,46.60%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Shawsheen Valley Regional Vocational Technical,8710000,113,109,96.50%,374,6,1.60%,374,300,80.20%,,,,-,N/A,Spring 2008,59,85.5,,-,-
2008,Southeastern Regional Vocational Technical,8720000,67,52,77.60%,285,10,3.50%,285,258,90.50%,,,,-,N/A,Spring 2007,25,78.1,,-,-
2009,Masconomet,7050000,72,66,91.70%,158,0,0%,295,165,55.90%,,,,-,N/A,Spring 2009,56,81.2,2007-08,21,95.50%
2008,South Shore Regional Vocational Technical,8730000,42,38,90.50%,178,2,1.10%,178,50,28.10%,,,,-,N/A,Spring 2008,23,82.1,,-,-
2008,Southern Worcester County Regional Vocational Technic,8760000,48,44,91.70%,196,2,1%,196,129,65.80%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Tri County Regional Vocational Technical,8780000,78,68,87.20%,292,6,2.10%,292,247,84.60%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Upper Cape Cod Regional Vocational Technical,8790000,45,40,88.90%,157,2,1.30%,157,152,96.80%,,,,-,N/A,Fall 2006,19,82.6,,-,-
2008,Whittier Regional Vocational Technical,8850000,54,53,98.10%,239,3,1.30%,239,211,88.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Bristol County Agricultural,9100000,13,13,100%,46,0,0%,46,46,100%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Essex Agricultural Technical,9130000,27,26,96.30%,101,1,1%,101,67,66.30%,,,,-,N/A,Spring 2009,NR,NR,,-,-
2008,Norfolk County Agricultural,9150000,29,27,93.10%,68,0,0%,68,44,64.70%,,,,-,N/A,Fall 2006,11,91.7,,-,-
2009,Abington,10000,15,12,80%,80,6,7.50%,335,225,67.20%,,,,-,N/A,Spring 2009,49,75.4,2007-08,17,100%
2009,Acton,20000,NA,NA,NA,NA,NA,NA,347,271,78.10%,,,,-,N/A,Spring 2007,85,85,2008-09,NA,NA
2009,Acushnet,30000,3,-,-,NA,NA,NA,189,138,73%,,,,-,N/A,Fall 2006,47,90.4,2008-09,NA,NA
2009,Agawam,50000,55,37,67.30%,166,7,4.20%,605,371,61.30%,,,,-,N/A,Spring 2008,99,80.5,2006-07,-,-
2009,Amesbury,70000,27,11,40.70%,97,2,2.10%,376,257,68.40%,,,,-,N/A,Spring 2009,70,80.5,2007-08,-,-
2009,Amherst,80000,NA,NA,NA,NA,NA,NA,220,115,52.30%,,,,-,N/A,Fall 2006,11,73.3,2008-09,NA,NA
2009,Andover,90000,76,59,77.60%,230,5,2.20%,935,640,68.40%,,,,-,N/A,Spring 2008,185,83,2006-07,36,100%
2009,Arlington,100000,59,50,84.70%,178,7,3.90%,693,448,64.60%,,,,-,N/A,Spring 2007,119,66.1,2008-09,31,93.90%
2009,Ashland,140000,30,26,86.70%,77,1,1.30%,331,272,82.20%,,,,-,N/A,Spring 2008,84,80.8,2006-07,16,100%
2009,Attleboro,160000,84,52,61.90%,257,26,10.10%,923,620,67.20%,,,,-,N/A,Spring 2008,124,77.5,2006-07,26,100%
2009,Auburn,170000,24,17,70.80%,68,3,4.40%,258,154,59.70%,,,,-,N/A,Spring 2007,47,74.6,2008-09,-,-
2009,Avon,180000,7,4,57.10%,39,2,5.10%,113,69,61.10%,,,,-,N/A,Spring 2008,-,-,2006-07,-,-
2009,Ayer,190000,20,7,35%,39,2,5.10%,216,160,74.10%,,,,-,N/A,Spring 2009,42,72.4,2007-08,-,-
2009,Barnstable,200000,76,51,67.10%,184,1,0.50%,546,304,55.70%,,,,-,N/A,Spring 2007,84,74.3,2008-09,18,100%
2009,Bedford,230000,49,40,81.60%,106,3,2.80%,451,293,65%,,,,-,N/A,Spring 2008,87,78.4,2006-07,16,100%
2009,Belchertown,240000,34,17,50%,99,4,4%,397,183,46.10%,,,,-,N/A,Spring 2009,73,66.4,2007-08,14,100%
2009,Bellingham,250000,37,25,67.60%,106,6,5.70%,319,209,65.50%,,,,-,N/A,Spring 2009,49,73.1,2007-08,-,-
2009,Belmont,260000,35,27,77.10%,111,2,1.80%,436,322,73.90%,,,,-,N/A,Spring 2009,103,81.7,2007-08,28,96.60%
2009,Berkley,270000,4,-,-,NA,NA,NA,120,27,22.50%,,,,-,N/A,Spring 2008,21,87.5,2006-07,NA,NA
2009,Berlin,280000,NA,NA,NA,NA,NA,NA,38,31,81.60%,,,,-,N/A,Spring 2009,11,84.6,2007-08,NA,NA
2009,Beverly,300000,87,51,58.60%,201,7,3.50%,846,507,59.90%,,,,-,N/A,Spring 2009,151,79.5,2007-08,18,94.70%
2009,Billerica,310000,56,31,55.40%,201,10,5%,1028,580,56.40%,,,,-,N/A,Spring 2007,178,73.3,2008-09,19,100%
2009,Boston,350000,993,407,41%,3313,319,9.60%,10708,3302,30.80%,,,,-,N/A,Spring 2009,185,76.8,2008-09,166,88.80%
2009,Bourne,360000,30,17,56.70%,96,6,6.30%,369,268,72.60%,,,,-,N/A,Fall 2006,55,73.3,2008-09,8,72.70%
2009,Boxborough,370000,NA,NA,NA,NA,NA,NA,56,38,67.90%,,,,-,N/A,Spring 2007,18,85.7,2008-09,NA,NA
2009,Boxford,380000,NA,NA,NA,NA,NA,NA,126,96,76.20%,,,,-,N/A,Fall 2006,23,74.2,2008-09,NA,NA
