Web link,URN,Provision type,Registration Status,Name,Address 1,Address 2,Town,County,Postcode,Government Office Region,Local authority,Sector,Places,Event type,Inspection date,Event number,Overall effectiveness,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
Ofsted Social Care Provider Webpage,1230411,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Surrey,Local Authority,2,Full inspection,16/09/2016,10020340,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,1230416,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Bedford,Private,4,Full inspection,25/08/2016,10020707,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,1231066,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,14/04/2016,10018287,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,1231067,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,29/09/2016,10018289,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,1231405,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Local Authority,6,Full inspection,23/08/2016,10018918,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1232380,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Bolton,Voluntary,6,Full inspection,28/04/2016,10018339,Outstanding,,,Good,Outstanding
Ofsted Social Care Provider Webpage,1233003,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Dorset,Private,2,Full inspection,25/08/2016,10018814,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,1234432,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Knowsley,Private,2,Full inspection,22/09/2016,10021221,Good,,,Good,Good
Ofsted Social Care Provider Webpage,1236832,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Central Bedfordshire,Private,4,Full inspection,06/09/2016,10021712,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC000678,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Northumberland,Private,1,Full inspection,27/07/2016,10013148,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC002930,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,8,Full inspection,31/08/2016,10022056,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC002930,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,8,Full inspection,08/07/2016,10013155,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC003884,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,17/06/2016,10013157,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC003897,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,28/04/2016,10013158,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC370956,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Lincolnshire,Private,4,Full inspection,15/07/2016,10014083,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC371267,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,St Helens,Voluntary,36,Full inspection,15/09/2016,10014086,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC371723,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,3,Full inspection,03/08/2016,10014088,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372030,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Wolverhampton,Private,3,Full inspection,12/05/2016,10014089,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC372117,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,25/05/2016,10014090,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC372504,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,55,Full inspection,27/07/2016,10013119,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372611,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,2,Full inspection,25/05/2016,10014093,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372613,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,3,Full inspection,17/05/2016,10014094,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372617,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,1,Full inspection,09/06/2016,10014095,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC372619,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,1,Full inspection,09/06/2016,10014096,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372621,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Telford and Wrekin,Private,3,Full inspection,13/07/2016,10014097,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372630,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Telford and Wrekin,Private,2,Full inspection,27/07/2016,10014098,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372652,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,1,Full inspection,23/09/2016,10014099,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC372661,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,1,Full inspection,14/09/2016,10014100,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC383941,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,4,Full inspection,28/04/2016,10014150,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC384018,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,4,Full inspection,27/07/2016,10014151,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC384687,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Wiltshire,Voluntary,5,Monitoring inspection,05/09/2016,10022447,,,,,
Ofsted Social Care Provider Webpage,SC384687,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Wiltshire,Voluntary,5,Full inspection,21/07/2016,10014155,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC384924,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Kirklees,Private,2,Full inspection,28/09/2016,10014156,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC385633,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Kingston upon Hull,Private,5,Interim inspection,18/05/2016,10016248,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC385809,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,3,Full inspection,16/06/2016,10014159,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386003,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cumbria,Private,4,Interim inspection,07/07/2016,10016250,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC386057,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Barnsley,Private,2,Full inspection,19/07/2016,10014161,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386134,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Greenwich,Private,4,Full inspection,11/05/2016,10014162,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386428,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,3,Full inspection,10/06/2016,10014164,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386651,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,3,Full inspection,09/06/2016,10014169,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386810,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,St Helens,Private,1,Full inspection,29/04/2016,10014170,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC386837,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Stockport,Private,2,Full inspection,02/08/2016,10014171,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC387148,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Trafford,Private,5,Full inspection,25/05/2016,10014172,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC411798,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,2,Full inspection,10/06/2016,10014341,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC444869,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,15,Full inspection,09/06/2016,10013117,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC444869,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,15,Interim inspection,01/04/2016,2459696,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC445174,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cheshire East,Voluntary,4,Interim inspection,16/06/2016,10016667,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC446152,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,20/07/2016,10014573,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC446261,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,3,Full inspection,11/08/2016,10014574,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC447457,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,3,Monitoring inspection,20/05/2016,10020588,,,,,
Ofsted Social Care Provider Webpage,SC447742,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Monitoring inspection,16/08/2016,10022173,,,,,
Ofsted Social Care Provider Webpage,SC447742,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,14/07/2016,10014579,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC447768,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,North Somerset,Private,3,Full inspection,17/08/2016,10014580,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC447930,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Warrington,Local Authority,2,Full inspection,23/09/2016,10014581,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC448129,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Wakefield,Private,2,Interim inspection,23/06/2016,10016678,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC448615,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Local Authority,8,Full inspection,16/06/2016,10014584,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC448615,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Local Authority,8,Monitoring inspection,10/05/2016,10018961,,,,,
Ofsted Social Care Provider Webpage,SC484242,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Stockton-on-Tees,Private,5,Full inspection,29/06/2016,10015083,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC484247,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Bradford,Private,6,Full inspection,22/06/2016,10015084,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC484357,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,4,Interim inspection,01/04/2016,10008388,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC484671,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Bedford,Private,4,Full inspection,07/07/2016,10017183,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC454647,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,4,Full inspection,29/06/2016,10013116,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC454707,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South Gloucestershire,Voluntary,7,Full inspection,24/05/2016,10014617,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC454838,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,6,Full inspection,19/07/2016,10014618,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC454900,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Local Authority,6,Full inspection,23/09/2016,10014619,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC454901,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,5,Full inspection,25/08/2016,10014620,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC455338,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Central Bedfordshire,Private,3,Full inspection,25/05/2016,10014622,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC455864,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Middlesbrough,Private,8,Full inspection,09/06/2016,10019056,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC455864,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Middlesbrough,Private,8,Full inspection,14/04/2016,10014623,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC456271,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,4,Full inspection,25/08/2016,10014629,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC456347,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Lincolnshire,Private,3,Full inspection,08/09/2016,10014631,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456405,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,01/09/2016,10014632,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC456413,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Full inspection,04/05/2016,10013127,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC456418,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Full inspection,13/07/2016,10014636,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456419,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Interim inspection,07/09/2016,10016737,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC443959,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,8,Full inspection,27/07/2016,10014563,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC444176,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Hertfordshire,Local Authority,4,Full inspection,05/09/2016,10014564,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC444352,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Wolverhampton,Private,4,Full inspection,11/05/2016,10014566,Requires improvement,,,Requires improvement,Inadequate
Ofsted Social Care Provider Webpage,SC444376,Children's home,Resigned,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Voluntary,5,Full inspection,04/05/2016,10014567,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC444681,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottingham,Voluntary,5,Full inspection,08/06/2016,10014569,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC066010,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,4,Interim inspection,02/09/2016,10015985,Declined in effectiveness,,,,
Ofsted Social Care Provider Webpage,SC066010,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,4,Full inspection,12/04/2016,10013895,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC066048,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,1,Full inspection,06/07/2016,10013896,Outstanding,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC066072,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Oldham,Private,3,Full inspection,19/07/2016,10013898,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC066115,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,4,Full inspection,23/08/2016,10013899,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066127,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Northumberland,Private,4,Full inspection,22/06/2016,10013901,Outstanding,,,Outstanding,Good
Ofsted Social Care Provider Webpage,SC066166,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Medway,Local Authority,5,Interim inspection,02/06/2016,10015993,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC066183,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,22/09/2016,10013905,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC066185,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Kent,Private,5,Full inspection,21/06/2016,10013906,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC059261,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Liverpool,Private,5,Full inspection,18/07/2016,10013739,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC059437,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,3,Full inspection,10/06/2016,10013740,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC059488,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Liverpool,Private,2,Full inspection,28/07/2016,10013741,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC059494,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Liverpool,Private,6,Full inspection,06/07/2016,10013742,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC059635,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Bradford,Local Authority,8,Full inspection,28/07/2016,10013743,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC402385,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,5,Full inspection,10/08/2016,10014267,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC402406,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,3,Full inspection,07/06/2016,10014268,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC402426,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,5,Full inspection,13/07/2016,10014269,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC403234,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,3,Full inspection,24/08/2016,10014272,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC403411,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Hounslow,Private,4,Monitoring inspection,29/09/2016,10022147,,,,,
Ofsted Social Care Provider Webpage,SC403411,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Hounslow,Private,4,Full inspection,10/08/2016,10014273,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC403464,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,20/07/2016,10014275,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC403472,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Newcastle upon Tyne,Private,5,Full inspection,21/04/2016,10014276,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC403789,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,4,Full inspection,25/05/2016,10014278,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC478152,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Somerset,Private,4,Full inspection,21/09/2016,10022894,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC486165,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Wirral,Private,4,Full inspection,18/08/2016,10015114,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC486167,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Private,1,Interim inspection,16/09/2016,10017209,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC486167,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Private,1,Full inspection,28/04/2016,10015115,Good,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC486398,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Leicestershire,Private,2,Full inspection,14/04/2016,10015116,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC486479,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Berkshire,Private,5,Interim inspection,27/07/2016,10017212,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC486527,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,4,Full inspection,09/06/2016,10015119,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC486528,Children's home,Resigned,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,6,Monitoring inspection,15/04/2016,10018102,,,,,
Ofsted Social Care Provider Webpage,SC486879,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,5,Interim inspection,05/05/2016,10008444,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC487165,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,4,Full inspection,09/08/2016,10015124,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC487488,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Halton,Private,1,Interim inspection,28/09/2016,10017220,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC487549,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cumbria,Private,4,Full inspection,30/06/2016,10015127,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC487702,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Suffolk,Private,3,Full inspection,29/04/2016,10015128,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC487764,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,2,Full inspection,25/05/2016,10015129,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC487794,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,3,Full inspection,10/08/2016,10015130,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC468747,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Full inspection,23/05/2016,10014814,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC468747,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,2,Monitoring inspection,05/04/2016,10018093,,,,,
Ofsted Social Care Provider Webpage,SC469396,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Kent,Private,4,Full inspection,20/07/2016,10021240,Good,,,Good,Good
